Algorithm,NumEvaluations,Error,Time
NelderMead,30,1.62646125,0.0018
NelderMead,50,0.10571837,0.0046
NelderMead,100,0.02496524,0.0078
NelderMead,300,0.02496524,0.0085
CMAES,30,0.43781319,0.0055
CMAES,50,0.39194753,0.0068
CMAES,100,0.08856777,0.0105
CMAES,300,0.02492276,0.0278
HillClimber,30,2.44405585,0.0049
HillClimber,50,3.15317155,0.0073
HillClimber,100,0.00796754,0.0113
HillClimber,300,0.01368776,0.0265
GA,30,2.26241286,0.0023
GA,50,0.89481261,0.0035
GA,100,0.08041552,0.0032
OriginalNES,100,2.22510220,0.0081
OriginalNES,200,2.18649147,0.0142
OriginalNES,300,0.36647271,0.0768
OriginalNES,400,0.16528729,0.1358
ExactNES,100,2.04890916,0.0109
ExactNES,200,0.69655086,0.0186
ExactNES,300,0.02616856,0.0936
ExactNES,400,0.00620443,0.1969
FEM,120,2.04597281,0.0047
FEM,200,2.06555362,0.0369
FEM,300,1.34154329,0.0976
FEM,400,0.07917825,0.1562
COGP,10,4.83818824,0.2505
COGP,15,1.15064852,0.4342
COGP,20,0.13173818,0.6690
COGP,50,0.04852782,2.0713
