Algorithm,NumEvaluations,Error
NelderMead,30,1.62646
NelderMead,50,0.10572
NelderMead,100,0.02497
NelderMead,300,0.02497
CMAES,30,1.49920
CMAES,50,0.85066
CMAES,100,0.10518
CMAES,300,0.02507
HillClimber,30,2.9012
HillClimber,50,2.8129
HillClimber,100,0.04442
HillClimber,300,0.0275
GA,30,2.07533
GA,50,0.1606
GA,100,0.07012
OriginalNES,100,0.5202
OriginalNES,200,0.1917
OriginalNES,300,0.1414
OriginalNES,400,0.0512
ExactNES,100,1.4240
ExactNES,200,0.7858
ExactNES,300,0.1831
ExactNES,400,0.0400
FEM,120,1.5444
FEM,200,0.6911
FEM,300,0.5796
FEM,400,0.0120
